[1107/143535:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/144027:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/152359:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/154758:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/154826:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/174539:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/174649:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/174818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/175445:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/175646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/180603:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/180913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/181126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/181508:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/121210:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/121534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/121809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/122654:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/122854:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/123944:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/124342:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/125617:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/125834:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/130256:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/135715:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/135837:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/140418:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/140546:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/153007:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/154129:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/172921:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/173004:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/103018:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/103145:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/103213:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/103619:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/103834:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/115606:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/120404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/120551:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/120728:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/121055:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/155810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/155858:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/160004:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/112104:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/112224:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/125425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/125555:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/125826:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/125947:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/130104:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/130156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/130416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/130503:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/172316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/172335:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/172710:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/174257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/180809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/180907:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/191030:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/192242:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142803:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/143736:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144537:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/150521:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/151111:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/151458:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/154751:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/154927:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/155039:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/155321:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/155406:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/160124:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/160212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/160544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/160807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/163303:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/163757:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/163845:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/164730:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/165337:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/165612:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/171711:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/174003:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/174051:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/174113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/093514:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/093646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1114/093710:ERROR:file_io.cc(30)] read: expected 4, observed 0
